"continent" "status" "order" "family" "genus" "species" "mass.grams"
"71" "AF" "extant" "Artiodactyla" "Bovidae" "Pelea" "capreolus" 20000
"72" "AF" "extinct" "Artiodactyla" "Bovidae" "Pelorovis" "antiquus" 1e+06
"73" "AF" "extant" "Artiodactyla" "Bovidae" "Raphicerus" "melanotis" 10249.9
"74" "AF" "extant" "Artiodactyla" "Bovidae" "Raphicerus" "campestris" 10500
"75" "AF" "extant" "Artiodactyla" "Bovidae" "Raphicerus" "sharpei" 9499.9
"76" "AF" "extant" "Artiodactyla" "Bovidae" "Redunca" "arundinum" 58000.3
"77" "AF" "extant" "Artiodactyla" "Bovidae" "Redunca" "fulvorufula" 29499.9
"78" "AF" "extant" "Artiodactyla" "Bovidae" "Redunca" "redunca" 44050.4
"79" "AF" "extant" "Artiodactyla" "Bovidae" "Sigmoceros" "lichtensteinii" 171498.4
"80" "AF" "extant" "Artiodactyla" "Bovidae" "Sylvicapra" "grimmia" 19499.8
"81" "AF" "extant" "Artiodactyla" "Bovidae" "Syncerus" "caffer" 580002.7
"82" "AF" "extant" "Artiodactyla" "Bovidae" "Taurotragus" "derbianus" 680000
"83" "AF" "extant" "Artiodactyla" "Bovidae" "Taurotragus" "oryx" 569993.6
"84" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "angasii" 86600.4
"85" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "eurycerus" 329003.1
"86" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "buxtoni" 215000.8
"87" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "imberbis" 81575.5
"88" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "scriptus" 43250.4
"89" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "spekii" 77999.2
"90" "AF" "extant" "Artiodactyla" "Bovidae" "Tragelaphus" "strepsiceros" 213501
"91" "AF" "extinct" "Artiodactyla" "Camelidae" "Camelus" "thomasi" 5e+05
"92" "AF" "extant" "Artiodactyla" "Cervidae" "Cervus" "elaphus" 156250
"93" "AF" "extinct" "Artiodactyla" "Cervidae" "Megaloceros" "algericus" 8e+05
"94" "AF" "extant" "Artiodactyla" "Giraffidae" "Giraffa" "camelopardalis" 899994.8
"95" "AF" "extinct" "Artiodactyla" "Giraffidae" "Giraffa" "gracilis" 850000
"96" "AF" "extant" "Artiodactyla" "Giraffidae" "Okapia" "johnstoni" 230001.1
"97" "AF" "extant" "Artiodactyla" "Hippopotamidae" "Hexaprotodon" "liberiensis" 235001.2
"98" "AF" "extant" "Artiodactyla" "Hippopotamidae" "Hippopotamus" "amphibius" 1417490
"99" "AF" "extant" "Artiodactyla" "Suidae" "Hylochoerus" "meinertzhageni" 188500
"100" "AF" "extinct" "Artiodactyla" "Suidae" "Metridiochoerus" "compactus" 142000
"101" "AF" "extant" "Artiodactyla" "Suidae" "Phacochoerus" "africanus" 82500
"102" "AF" "extant" "Artiodactyla" "Suidae" "Phacochoerus" "aethiopicus" 71000.3
"103" "AF" "extant" "Artiodactyla" "Suidae" "Potamochoerus" "larvatus" 97500
"104" "AF" "extant" "Artiodactyla" "Suidae" "Potamochoerus" "porcus" 70000.3
"105" "AF" "extant" "Artiodactyla" "Tragulidae" "Hyemoschus" "aquaticus" 10850
"106" "AF" "extant" "Carnivora" "Canidae" "Canis" "simensis" 10000
"107" "AF" "extant" "Carnivora" "Canidae" "Canis" "adustus" 10249.9
"108" "AF" "extant" "Carnivora" "Canidae" "Canis" "aureus" 10999.9
"109" "AF" "extant" "Carnivora" "Canidae" "Canis" "mesomelas" 8500
"110" "AF" "extant" "Carnivora" "Canidae" "Lycaon" "pictus" 22050.1
"111" "AF" "extant" "Carnivora" "Canidae" "Otocyon" "megalotis" 4150
"112" "AF" "extant" "Carnivora" "Canidae" "Vulpes" "chama" 2955
"113" "AF" "extant" "Carnivora" "Canidae" "Vulpes" "pallida" 2800
"114" "AF" "extant" "Carnivora" "Canidae" "Vulpes" "rueppelli" 3250
"115" "AF" "extant" "Carnivora" "Canidae" "Vulpes" "vulpes" 6000
"116" "AF" "extant" "Carnivora" "Canidae" "Vulpes" "zerda" 1100
"117" "AF" "extant" "Carnivora" "Felidae" "Acinonyx" "jubatus" 50000
"118" "AF" "extant" "Carnivora" "Felidae" "Caracal" "caracal" 13749.9
"119" "AF" "extant" "Carnivora" "Felidae" "Felis" "nigripes" 1300
"120" "AF" "extant" "Carnivora" "Felidae" "Felis" "chaus" 6749.9
"121" "AF" "extant" "Carnivora" "Felidae" "Felis" "margarita" 2525
"122" "AF" "extant" "Carnivora" "Felidae" "Felis" "silvestris" 4650
"123" "AF" "extant" "Carnivora" "Felidae" "Leptailurus" "serval" 12000
"124" "AF" "extant" "Carnivora" "Felidae" "Panthera" "leo" 161499.1
"125" "AF" "extant" "Carnivora" "Felidae" "Panthera" "pardus" 54999.7
"126" "AF" "extant" "Carnivora" "Felidae" "Profelis" "aurata" 10650
"127" "AF" "extant" "Carnivora" "Herpestidae" "Atilax" "paludinosus" 3300
"128" "AF" "extant" "Carnivora" "Herpestidae" "Bdeogale" "jacksoni" 2500
"129" "AF" "extant" "Carnivora" "Herpestidae" "Bdeogale" "crassicauda" 1550
"130" "AF" "extant" "Carnivora" "Herpestidae" "Bdeogale" "nigripes" 2500
"131" "AF" "extant" "Carnivora" "Herpestidae" "Crossarchus" "obscurus" 1250
"132" "AF" "extant" "Carnivora" "Herpestidae" "Crossarchus" "alexandri" 1500
"133" "AF" "extant" "Carnivora" "Herpestidae" "Crossarchus" "ansorgei" 700
"134" "AF" "extant" "Carnivora" "Herpestidae" "Cynictis" "penicillata" 836
"135" "AF" "extant" "Carnivora" "Herpestidae" "Dologale" "dybowskii" 350
"136" "AF" "extant" "Carnivora" "Herpestidae" "Galerella" "pulverulenta" 797
"137" "AF" "extant" "Carnivora" "Herpestidae" "Galerella" "flavescens" 750
"138" "AF" "extant" "Carnivora" "Herpestidae" "Galerella" "swalius" 750
"139" "AF" "extant" "Carnivora" "Herpestidae" "Galerella" "sanguinea" 550
"140" "AF" "extant" "Carnivora" "Herpestidae" "Helogale" "hirtula" 289
"141" "AF" "extant" "Carnivora" "Herpestidae" "Helogale" "parvula" 300
"142" "AF" "extant" "Carnivora" "Herpestidae" "Herpestes" "naso" 3000
"143" "AF" "extant" "Carnivora" "Herpestidae" "Herpestes" "ichneumon" 2850
"144" "AF" "extant" "Carnivora" "Herpestidae" "Ichneumia" "albicauda" 3500
"145" "AF" "extant" "Carnivora" "Herpestidae" "Liberiictis" "kuhni" 2150
"146" "AF" "extant" "Carnivora" "Herpestidae" "Mungos" "gambianus" 1500
"147" "AF" "extant" "Carnivora" "Herpestidae" "Mungos" "mungo" 1925
"148" "AF" "extant" "Carnivora" "Herpestidae" "Paracynictis" "selousi" 1640
"149" "AF" "extant" "Carnivora" "Herpestidae" "Rhynchogale" "melleri" 2500
"150" "AF" "extant" "Carnivora" "Herpestidae" "Suricata" "suricatta" 725.5
"151" "AF" "extant" "Carnivora" "Hyaenidae" "Crocuta" "crocuta" 62999.9
"152" "AF" "extant" "Carnivora" "Hyaenidae" "Hyaena" "hyaena" 46000.2
"153" "AF" "extant" "Carnivora" "Hyaenidae" "Parahyaena" "brunnea" 32200.3
"154" "AF" "extant" "Carnivora" "Hyaenidae" "Proteles" "cristatus" 10000
"155" "AF" "extant" "Carnivora" "Mustelidae" "Aonyx" "capensis" 18999.8
"156" "AF" "extant" "Carnivora" "Mustelidae" "Aonyx" "congicus" 23800.2
"157" "AF" "extant" "Carnivora" "Mustelidae" "Ictonyx" "libyca" 625
"158" "AF" "extant" "Carnivora" "Mustelidae" "Ictonyx" "striatus" 1300
"159" "AF" "extant" "Carnivora" "Mustelidae" "Lutra" "maculicollis" 4000
"160" "AF" "extant" "Carnivora" "Mustelidae" "Lutra" "lutra" 10999.9
"161" "AF" "extant" "Carnivora" "Mustelidae" "Mellivora" "capensis" 8000
"162" "AF" "extant" "Carnivora" "Mustelidae" "Mustela" "nivalis" 187.5
"163" "AF" "extant" "Carnivora" "Mustelidae" "Mustela" "putorius" 1100
"164" "AF" "extant" "Carnivora" "Mustelidae" "Poecilogale" "albinucha" 340
"165" "AF" "extant" "Carnivora" "Phocidae" "Monachus" "monachus" 275000
"166" "AF" "extant" "Carnivora" "Viverridae" "Civettictis" "civetta" 12000
"167" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "maculata" 2225
"168" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "abyssinica" 1650
"169" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "angolensis" 1650
"170" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "johnstoni" 2225
"171" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "thierryi" 1400
"172" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "genetta" 2000
"173" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "servalina" 1055
"174" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "tigrina" 2225
"175" "AF" "extant" "Carnivora" "Viverridae" "Genetta" "victoriae" 3000
"176" "AF" "extant" "Carnivora" "Viverridae" "Nandinia" "binotata" 2000
"177" "AF" "extant" "Carnivora" "Viverridae" "Osbornictis" "piscivora" 3000
"178" "AF" "extant" "Carnivora" "Viverridae" "Poiana" "richardsonii" 500
"179" "AF" "extant" "Chiroptera" "Emballonuridae" "Coleura" "afra" 10.7
"180" "AF" "extant" "Chiroptera" "Emballonuridae" "Saccolaimus" "peli" 100
"181" "AF" "extant" "Chiroptera" "Emballonuridae" "Taphozous" "hamiltoni" NA
"182" "AF" "extant" "Chiroptera" "Emballonuridae" "Taphozous" "hildegardeae" 29.6
"183" "AF" "extant" "Chiroptera" "Emballonuridae" "Taphozous" "mauritianus" 27.3
"184" "AF" "extant" "Chiroptera" "Emballonuridae" "Taphozous" "nudiventris" 34.1
"185" "AF" "extant" "Chiroptera" "Emballonuridae" "Taphozous" "perforatus" 27.3
"186" "AF" "extant" "Chiroptera" "Megadermatidae" "Cardioderma" "cor" 27.8
"187" "AF" "extant" "Chiroptera" "Megadermatidae" "Lavia" "frons" 23.9
"188" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "aloysiisabaudiae" NA
"189" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "ansorgei" NA
"190" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "bemmeleni" NA
"191" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "chapini" NA
"192" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "gallagheri" NA
"193" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "bivittata" 15
"194" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "major" 14.8
"195" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "nigeriae" 19.8
"196" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "plicata" 20
"197" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "pumila" 11.3
"198" "AF" "extant" "Chiroptera" "Molossidae" "Chaerephon" "russata" 16.5
"199" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "demonstrator" NA
"200" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "nanulus" NA
"201" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "niangarae" NA
"202" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "petersoni" NA
"203" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "spurrelli" NA
"204" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "trevori" NA
"205" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "brachypterus" 16
"206" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "condylurus" 28.4
"207" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "congicus" 43
"208" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "midas" 45.2
"209" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "niveiventer" 21.7
"210" "AF" "extant" "Chiroptera" "Molossidae" "Mops" "thersites" 22
"211" "AF" "extant" "Chiroptera" "Molossidae" "Mormopterus" "acetabulosus" NA
"212" "AF" "extant" "Chiroptera" "Molossidae" "Mormopterus" "setiger" NA
"213" "AF" "extant" "Chiroptera" "Molossidae" "Mormopterus" "petrophilus" 13.9
"214" "AF" "extant" "Chiroptera" "Molossidae" "Myopterus" "daubentonii" NA
"215" "AF" "extant" "Chiroptera" "Molossidae" "Myopterus" "whitleyi" 11.5
"216" "AF" "extant" "Chiroptera" "Molossidae" "Otomops" "martiensseni" 34.3
"217" "AF" "extant" "Chiroptera" "Molossidae" "Promops" "nasutus" 15.2
"218" "AF" "extant" "Chiroptera" "Molossidae" "Tadarida" "lobata" NA
"219" "AF" "extant" "Chiroptera" "Molossidae" "Tadarida" "ventralis" NA
"220" "AF" "extant" "Chiroptera" "Molossidae" "Tadarida" "aegyptiaca" 16.8
"221" "AF" "extant" "Chiroptera" "Molossidae" "Tadarida" "fulminans" 35.3
"222" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "intermedia" NA
"223" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "major" NA
"224" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "arge" 12
"225" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "gambiensis" 7
"226" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "grandis" 30.2
"227" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "hispida" 8.6
"228" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "macrotis" 14.5
"229" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "nana" 7
"230" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "thebaica" 9.8
"231" "AF" "extant" "Chiroptera" "Nycteridae" "Nycteris" "woodi" 7.6
"232" "AF" "extant" "Chiroptera" "Phyllostomidae" "Anoura" "latidens" 14.7
"233" "AF" "extant" "Chiroptera" "Phyllostomidae" "Choeroniscus" "periosus" NA
"234" "AF" "extant" "Chiroptera" "Phyllostomidae" "Choeroniscus" "minor" 8.7
"235" "AF" "extant" "Chiroptera" "Pteropodidae" "Casinycteris" "argynnis" 29.9
"236" "AF" "extant" "Chiroptera" "Pteropodidae" "Eidolon" "helvum" 253.3
"237" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "angolensis" NA
"238" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "minimus" NA
"239" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "gambianus" 128.9
"240" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "grandis" 48.6
"241" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "labiatus" 63
"242" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomophorus" "wahlbergi" 91.6
"243" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomops" "buettikoferi" 133.8
"244" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomops" "dobsoni" 120
"245" "AF" "extant" "Chiroptera" "Pteropodidae" "Epomops" "franqueti" 118.9
"246" "AF" "extant" "Chiroptera" "Pteropodidae" "Hypsignathus" "monstrosus" 335.1
"247" "AF" "extant" "Chiroptera" "Pteropodidae" "Megaloglossus" "woermanni" 15.7
"248" "AF" "extant" "Chiroptera" "Pteropodidae" "Micropteropus" "intermedius" NA
"249" "AF" "extant" "Chiroptera" "Pteropodidae" "Micropteropus" "pusillus" 26.6
"250" "AF" "extant" "Chiroptera" "Pteropodidae" "Myonycteris" "relicta" 52
